group,kind,level,method,cls,mean_case_dice,cases,case_values
development,coarse,2,raster4,disconnected_2d,0.8278026615765991,3,"{'Case_19': 0.909541511771995, 'Case_24': 0.7884210526315789, 'Case_23': 0.7854454203262233}"
development,coarse,2,raster8,attached_2d,0.970025590751638,3,"{'Case_19': 0.9740993184031159, 'Case_24': 0.9666365135954876, 'Case_23': 0.9693409402563105}"
development,coarse,2,raster8,disconnected_2d,0.8278026615765991,3,"{'Case_19': 0.909541511771995, 'Case_24': 0.7884210526315789, 'Case_23': 0.7854454203262233}"
development,coarse,4,neural,attached_2d,0.9541526392878512,3,"{'Case_19': 0.9556477189558429, 'Case_24': 0.945335433521873, 'Case_23': 0.9614747653858379}"
development,coarse,4,neural,disconnected_2d,0.5876033569416553,3,"{'Case_19': 0.5504300234558248, 'Case_24': 0.43167829298317606, 'Case_23': 0.7807017543859649}"
development,coarse,4,raster4,attached_2d,0.9427136957633019,3,"{'Case_19': 0.9453631517441209, 'Case_24': 0.9411764705882353, 'Case_23': 0.9416014649575495}"
development,coarse,4,raster4,disconnected_2d,0.6396684055069154,3,"{'Case_19': 0.5782414307004471, 'Case_24': 0.7223427331887202, 'Case_23': 0.618421052631579}"
development,coarse,4,raster8,attached_2d,0.9396624214135537,3,"{'Case_19': 0.9453631517441209, 'Case_24': 0.9320226475389906, 'Case_23': 0.9416014649575495}"
development,coarse,4,raster8,disconnected_2d,0.4783267467804573,3,"{'Case_19': 0.5782414307004471, 'Case_24': 0.2383177570093458, 'Case_23': 0.618421052631579}"
development,missing,0.1,neural,attached_2d,0.9565026341752535,3,"{'Case_19': 0.9491267234141478, 'Case_24': 0.9412272115698826, 'Case_23': 0.97915396754173}"
development,missing,0.1,neural,disconnected_2d,0.5482927014012713,3,"{'Case_19': 0.45815158191955385, 'Case_24': 0.43416634239323776, 'Case_23': 0.7525601798910221}"
development,missing,0.1,neural_filled,attached_2d,0.9700491849117739,3,"{'Case_19': 0.9688154374343406, 'Case_24': 0.9619734319260927, 'Case_23': 0.9793586853748883}"
development,missing,0.1,neural_filled,disconnected_2d,0.6380858617898889,3,"{'Case_19': 0.5672177541477107, 'Case_24': 0.4902809538748052, 'Case_23': 0.8567588773471505}"
development,missing,0.1,raster4,attached_2d,0.9468576209364419,3,"{'Case_19': 0.9467231024187358, 'Case_24': 0.9464234248077421, 'Case_23': 0.9474263355828478}"
development,missing,0.1,raster4,disconnected_2d,0.9190403471040455,3,"{'Case_19': 0.914539990753583, 'Case_24': 0.9294686744538406, 'Case_23': 0.9131123761047126}"
development,missing,0.1,raster4_filled,attached_2d,0.9968579613755004,3,"{'Case_19': 0.9971963275922402, 'Case_24': 0.9964504474924695, 'Case_23': 0.9969271090417916}"
development,missing,0.1,raster4_filled,disconnected_2d,0.9716047828684928,3,"{'Case_19': 0.9793483356320275, 'Case_24': 0.979072970579885, 'Case_23': 0.9563930423935658}"
development,missing,0.1,raster8,attached_2d,0.9458410647120706,3,"{'Case_19': 0.9473066755056615, 'Case_24': 0.9423395108195355, 'Case_23': 0.9478770078110151}"
development,missing,0.1,raster8,disconnected_2d,0.8943153417499841,3,"{'Case_19': 0.9516188607771497, 'Case_24': 0.7863862207362574, 'Case_23': 0.9449409437365451}"
development,missing,0.1,raster8_filled,attached_2d,0.9952506378335692,3,"{'Case_19': 0.9973649942274281, 'Case_24': 0.9914425561138837, 'Case_23': 0.9969443631593959}"
development,missing,0.1,raster8_filled,disconnected_2d,0.9263013695676685,3,"{'Case_19': 0.9919717144311173, 'Case_24': 0.8283602003510028, 'Case_23': 0.9585721939208853}"
development,missing,0.3,neural,attached_2d,0.9125983521242477,3,"{'Case_19': 0.8914533455072648, 'Case_24': 0.8938632883769183, 'Case_23': 0.9524784224885597}"
development,missing,0.3,neural,disconnected_2d,0.33361316367525284,3,"{'Case_19': 0.3722466130379985, 'Case_24': 0.3203541541340614, 'Case_23': 0.3082387238536987}"
development,missing,0.3,neural_filled,attached_2d,0.9682659819081643,3,"{'Case_19': 0.9671221666732229, 'Case_24': 0.960305388352313, 'Case_23': 0.9773703906989568}"
development,missing,0.3,neural_filled,disconnected_2d,0.6361153410588468,3,"{'Case_19': 0.5681994343301991, 'Case_24': 0.48375722024640805, 'Case_23': 0.8563893685999334}"
development,missing,0.3,raster4,attached_2d,0.8007700583658225,3,"{'Case_19': 0.7974042484783466, 'Case_24': 0.7974820776597499, 'Case_23': 0.8074238489593711}"
development,missing,0.3,raster4,disconnected_2d,0.4294877682407146,3,"{'Case_19': 0.3461232355068405, 'Case_24': 0.5401856273842939, 'Case_23': 0.40215444183100946}"
development,missing,0.3,raster4_filled,attached_2d,0.9889503374788081,3,"{'Case_19': 0.9907674470899362, 'Case_24': 0.9864014439537093, 'Case_23': 0.9896821213927787}"
development,missing,0.3,raster4_filled,disconnected_2d,0.9181751644588846,3,"{'Case_19': 0.9658451213514999, 'Case_24': 0.8812851391209889, 'Case_23': 0.9073952329041651}"
development,missing,0.3,raster8,attached_2d,0.8207228342539507,3,"{'Case_19': 0.8224498782219754, 'Case_24': 0.8173078470350115, 'Case_23': 0.8224107775048651}"
development,missing,0.3,raster8,disconnected_2d,0.7525551528507436,3,"{'Case_19': 0.8220438422073301, 'Case_24': 0.638441186132994, 'Case_23': 0.7971804302119065}"
development,missing,0.3,raster8_filled,attached_2d,0.9879173107457779,3,"{'Case_19': 0.9907674470899362, 'Case_24': 0.9833076486468433, 'Case_23': 0.9896768365005544}"
development,missing,0.3,raster8_filled,disconnected_2d,0.8875513588513466,3,"{'Case_19': 0.9658451213514999, 'Case_24': 0.7865967862772344, 'Case_23': 0.9102121689253057}"
development,noise,0.02,neural,attached_2d,0.9703474450063938,3,"{'Case_19': 0.9689083153888408, 'Case_24': 0.9624512594986281, 'Case_23': 0.9796827601317127}"
development,noise,0.02,neural,disconnected_2d,0.6361547109896426,3,"{'Case_19': 0.562740580783966, 'Case_24': 0.49673216146815197, 'Case_23': 0.8489913907168098}"
development,noise,0.02,raster4,attached_2d,0.9898939893360921,3,"{'Case_19': 0.9903276270425767, 'Case_24': 0.9878820172164576, 'Case_23': 0.991472323749242}"
development,noise,0.02,raster4,disconnected_2d,0.7624338530703626,3,"{'Case_19': 0.8836673923148148, 'Case_24': 0.7902848672146882, 'Case_23': 0.6133492996815847}"
development,noise,0.02,raster4_smooth,attached_2d,0.9871309887263825,3,"{'Case_19': 0.9892514555583171, 'Case_24': 0.98904054067759, 'Case_23': 0.9831009699432401}"
development,noise,0.02,raster4_smooth,disconnected_2d,0.9133364094574224,3,"{'Case_19': 0.9570859603134817, 'Case_24': 0.9652927734177238, 'Case_23': 0.8176304946410617}"
development,noise,0.02,raster8,attached_2d,0.9865046040554809,3,"{'Case_19': 0.9899096662544561, 'Case_24': 0.9793853179930515, 'Case_23': 0.9902188279189351}"
development,noise,0.02,raster8,disconnected_2d,0.6802644291807738,3,"{'Case_19': 0.9184815107990315, 'Case_24': 0.45200647795971755, 'Case_23': 0.670305298783572}"
development,noise,0.02,raster8_smooth,attached_2d,0.9852642825300987,3,"{'Case_19': 0.9892461116370144, 'Case_24': 0.9834735942780597, 'Case_23': 0.983073141675222}"
development,noise,0.02,raster8_smooth,disconnected_2d,0.8570315864909408,3,"{'Case_19': 0.9574670163831605, 'Case_24': 0.7942188694501823, 'Case_23': 0.8194088736394795}"
development,noise,0.05,neural,attached_2d,0.9690007866838202,3,"{'Case_19': 0.9677063591581301, 'Case_24': 0.9602113297208043, 'Case_23': 0.9790846711725262}"
development,noise,0.05,neural,disconnected_2d,0.6234802271119569,3,"{'Case_19': 0.55336914792206, 'Case_24': 0.49385864053809164, 'Case_23': 0.823212892875719}"
development,noise,0.05,raster4,attached_2d,0.9785200809273475,3,"{'Case_19': 0.9775615161331047, 'Case_24': 0.9765210845136739, 'Case_23': 0.981477642135264}"
development,noise,0.05,raster4,disconnected_2d,0.49581298003855073,3,"{'Case_19': 0.5705027044547123, 'Case_24': 0.6195971841725877, 'Case_23': 0.2973390514883523}"
development,noise,0.05,raster4_smooth,attached_2d,0.9803239287724043,3,"{'Case_19': 0.9839381359613825, 'Case_24': 0.9778808218661847, 'Case_23': 0.9791528284896458}"
development,noise,0.05,raster4_smooth,disconnected_2d,0.7380110205918039,3,"{'Case_19': 0.9028900754301213, 'Case_24': 0.6554133079142124, 'Case_23': 0.6557296784310781}"
development,noise,0.05,raster8,attached_2d,0.9738602018059016,3,"{'Case_19': 0.9752798943137039, 'Case_24': 0.9697913129260173, 'Case_23': 0.9765093981779835}"
development,noise,0.05,raster8,disconnected_2d,0.48409199811065334,3,"{'Case_19': 0.6748125836069404, 'Case_24': 0.4739462843278755, 'Case_23': 0.3035171263971441}"
development,noise,0.05,raster8_smooth,attached_2d,0.9785591837854081,3,"{'Case_19': 0.9838971777504187, 'Case_24': 0.9728705965101055, 'Case_23': 0.9789097770957002}"
development,noise,0.05,raster8_smooth,disconnected_2d,0.6762342619390568,3,"{'Case_19': 0.9119455492572527, 'Case_24': 0.45053044983927676, 'Case_23': 0.6662267867206411}"
development,noise,0.1,neural,attached_2d,0.9646929245649946,3,"{'Case_19': 0.9631934945188596, 'Case_24': 0.9553492004950104, 'Case_23': 0.9755360786811137}"
development,noise,0.1,neural,disconnected_2d,0.5980922410289086,3,"{'Case_19': 0.5395275307834205, 'Case_24': 0.4835053071298616, 'Case_23': 0.7712438851734434}"
development,noise,0.1,raster4,attached_2d,0.9602919902425433,3,"{'Case_19': 0.9576897390910911, 'Case_24': 0.957120852488719, 'Case_23': 0.9660653791478199}"
development,noise,0.1,raster4,disconnected_2d,0.019752864075988908,3,"{'Case_19': 0.015917986147970027, 'Case_24': 0.027495658606100388, 'Case_23': 0.015844947473896313}"
development,noise,0.1,raster4_smooth,attached_2d,0.9719431391168647,3,"{'Case_19': 0.9738535665461718, 'Case_24': 0.9715347042970999, 'Case_23': 0.9704411465073224}"
development,noise,0.1,raster4_smooth,disconnected_2d,0.6221549693618841,3,"{'Case_19': 0.7446199449722114, 'Case_24': 0.7037561044496455, 'Case_23': 0.41808885866379514}"
development,noise,0.1,raster8,attached_2d,0.9507994819919473,3,"{'Case_19': 0.951392031714541, 'Case_24': 0.9472261691718712, 'Case_23': 0.9537802450894298}"
development,noise,0.1,raster8,disconnected_2d,0.016246711617981184,3,"{'Case_19': 0.016128880470582835, 'Case_24': 0.018083798633019624, 'Case_23': 0.014527455750341095}"
development,noise,0.1,raster8_smooth,attached_2d,0.970874676419558,3,"{'Case_19': 0.97359195266297, 'Case_24': 0.9694240039263904, 'Case_23': 0.9696080726693136}"
development,noise,0.1,raster8_smooth,disconnected_2d,0.6163309147709167,3,"{'Case_19': 0.7681527679175785, 'Case_24': 0.6507057136613082, 'Case_23': 0.43013426273386335}"
